Comment.ID,touchpoint_id,Analyst,Firm,Setting,Comment Sentiment,Comments,Proposed.Summary,Date,Tags,Technology,Main Competition,Primary.Spokesperson,dev_mention,acquisition_mention,Campaign
C8213,T1875,Bola Rotibi,CCS Insight,Email Comment,Positive,"“Wow, what a briefing on cloud. So many features, capabilities and products. Not surprised at VMware’s commanding position in the data centre and their potential in maximising this position in the cloud!! I’m impressed but it is pretty overwhelming.”",,3/4/2021,,"vRealize, CloudHealth",,Mark Leake,0,0,
C8212,T1876,Bruno Teyton,IDC,General Reports Completed,Neutral," There has been growing interest in O-RAN in the CSP community in every region. In Europe, in October 2020, the O-RAN Alliance and the Telecom Infra Project (TIP) organized the first joint plugfest. BT, Deutsche Telekom, Orange, Telefónica, and TIM hosted the event which focused on open RAN commercialization, supply chain diversification, and multivendor interoperability. In January 2021, Deutsche Telekom, Orange, Telefónica, and Vodafone signed a memorandum of understanding to demonstrate their commitment to O-RAN, their technology of choice in the coming years, with a clear message to their RAN suppliers and to the rest of the ICT community.",,3/4/2021,,Telco,,,0,0,
C8211,T1876,Bruno Teyton,IDC,General Reports Completed,Neutral,"Each CSP will need to define its own path and its procurement strategy with a mix of open source solutions and proprietary modules with existing or new suppliers. The creation and development of new RAN ecosystems will be critical in every region. In Europe, CSPs, especially those that signed the aforementioned MoU, have encouraged the European Commission to invest some of the COVID-19 stimulus package to create a vibrant European O-RAN ecosystem to drive 5G deployments. But this will require specific capabilities to manage and integrate these new technologies delivered by these new suppliers.",,3/4/2021,,Telco,,,0,0,
C8210,T1879,Roberto Kompany,Analysys Mason,Verbal Comment,Neutral,"In terms of 5G, there are about 25 operators in O-RAN and most are tier 2s. So, what is happening with the others? Tier 3s will be followers. Operators want more suppliers. Now we only have four suppliers in the RAN space. That isn't sufficient for a healthy market. There will be more use cases that need to be deployed and in certain regions, i.e. LATAM and Africa that need something different.",,3/4/2021,,Telco,,Ben Basler,0,0,
C8209,T1874,Anil Rao,Analysys Mason,Verbal Comment,Neutral,We are hearing that operators focused on near real time to start with. Orchestration is driving the mindset too as well as C-SON. Some of the SON vendors who have been successful are becoming active in that space. Some operators are looking at that area as well because of their existing relationships with the SON vendors who want to position themselves in the RIC landscape. ,,3/4/2021,,Telco,,Ben Basler,0,0,
C8208,T1874,Anil Rao,Analysys Mason,Verbal Comment,Neutral,Open RAN is another step. It is early days. Tough for operators to do much with confidence. They will not touch the macro networks but rather secondary or private networks -- more of a contained environment where they can take a higher level of risk.,,3/4/2021,,Telco,,Ben Basler,0,0,
C8207,T1958,James Crawshaw,Omdia,General Reports Completed,Neutral,"Telecom operators have a major role to play in enabling other sectors’ energy consumption reduction. Examples include using 5G-connected unmanned aerial vehicles to perform remote plant inspections, supporting remote medicine (avoiding unnecessary journeys), and enabling smart cities (reducing congestion, etc.). Telecom operators themselves are responsible for around 20% of the ICT industry’s electricity consumption.",,3/25/2021,,Telco,,,0,0,
C8206,T1958,James Crawshaw,Omdia,General Reports Completed,Neutral," Operators have begun rolling out 5G, so there have been concerns that their electricity consumption would begin to rise dramatically, undoing their efforts to reach carbon neutrality. However, as explored in Omdia’s recent report, Telecom Energy Efficiency: Capping Electricity Usage Through Mobile Network Modernization, retiring legacy technologies, adopting Single RAN, using small cells, and optimizing energy usage through better network management could lead to RAN energy consumption being maintained at pre-5G levels or even reduced.",,3/25/2021,,Telco,,,0,0,
C8205,T1960,Bola Rotibi,CCS Insight,Verbal Comment,Positive,"VMware Cloud Universal strategy is a smart move. Where we are with cloud, it has taken people over a decade and as more people think more strategically about business critical workloads anything that reduces barrier to entry and increases flexibility is welcome.",,3/26/2021,,VMware Cloud DR,,Dormain Drewitz,0,0,
C8204,T1960,Bola Rotibi,CCS Insight,Verbal Comment,Positive,"Tanzu has come in considerably quickly in the market and has shocked a lot of people in the market. Punched its weight really well, and a positive push for VMware to open up the company. Leveraging the learnings from pivotal and operational side, with your tools, is a smart move for VMware.",,3/26/2021,,Tanzu,,Dormain Drewitz,0,0,
